route_id,sample_count,mean_speed_mps,median_speed_mps,max_speed_mps,mean_speed_kmh,median_speed_kmh,max_speed_kmh
6708,490,0.0,0.0,0.0,0.0,0.0,0.0
6709,146,0.0,0.0,0.0,0.0,0.0,0.0
6712,1870,0.0,0.0,0.0,0.0,0.0,0.0
6713,403,0.0,0.0,0.0,0.0,0.0,0.0
6715,1147,0.0,0.0,0.0,0.0,0.0,0.0
6722,491,0.0,0.0,0.0,0.0,0.0,0.0
6723,392,0.0,0.0,0.0,0.0,0.0,0.0
6724,1070,0.0,0.0,0.0,0.0,0.0,0.0
6725,291,0.0,0.0,0.0,0.0,0.0,0.0
6726,601,0.0,0.0,0.0,0.0,0.0,0.0
6727,780,0.0,0.0,0.0,0.0,0.0,0.0
6728,1498,0.0,0.0,0.0,0.0,0.0,0.0
6730,930,0.0,0.0,0.0,0.0,0.0,0.0
6737,949,0.0,0.0,0.0,0.0,0.0,0.0
6738,1715,0.0,0.0,0.0,0.0,0.0,0.0
6741,1132,0.0,0.0,0.0,0.0,0.0,0.0
6747,697,0.0,0.0,0.0,0.0,0.0,0.0
6748,545,0.0,0.0,0.0,0.0,0.0,0.0
6749,1326,0.0,0.0,0.0,0.0,0.0,0.0
6776,72,0.0,0.0,0.0,0.0,0.0,0.0
6779,94,0.0,0.0,0.0,0.0,0.0,0.0
6780,199,0.0,0.0,0.0,0.0,0.0,0.0
6790,252,0.0,0.0,0.0,0.0,0.0,0.0
6796,453,0.0,0.0,0.0,0.0,0.0,0.0
6799,113,0.0,0.0,0.0,0.0,0.0,0.0
6800,140,0.0,0.0,0.0,0.0,0.0,0.0
6806,260,0.0,0.0,0.0,0.0,0.0,0.0
6811,94,0.0,0.0,0.0,0.0,0.0,0.0
6817,449,0.0,0.0,0.0,0.0,0.0,0.0
6818,220,0.0,0.0,0.0,0.0,0.0,0.0
6819,676,0.0,0.0,0.0,0.0,0.0,0.0
6821,1179,0.0,0.0,0.0,0.0,0.0,0.0
6822,282,0.0,0.0,0.0,0.0,0.0,0.0
6823,79,0.0,0.0,0.0,0.0,0.0,0.0
6825,74,0.0,0.0,0.0,0.0,0.0,0.0
6828,188,0.0,0.0,0.0,0.0,0.0,0.0
6830,11,0.0,0.0,0.0,0.0,0.0,0.0
6831,2,0.0,0.0,0.0,0.0,0.0,0.0
6833,2,0.0,0.0,0.0,0.0,0.0,0.0
6834,17,0.0,0.0,0.0,0.0,0.0,0.0
6835,3,0.0,0.0,0.0,0.0,0.0,0.0
6836,3,0.0,0.0,0.0,0.0,0.0,0.0
6837,326,0.0,0.0,0.0,0.0,0.0,0.0
6838,13,0.0,0.0,0.0,0.0,0.0,0.0
6840,3,0.0,0.0,0.0,0.0,0.0,0.0
6841,72,0.0,0.0,0.0,0.0,0.0,0.0
6843,61,0.0,0.0,0.0,0.0,0.0,0.0
6844,49,0.0,0.0,0.0,0.0,0.0,0.0
7321,956,0.0,0.0,0.0,0.0,0.0,0.0
7322,22,0.0,0.0,0.0,0.0,0.0,0.0
7509,188,0.0,0.0,0.0,0.0,0.0,0.0
8290,438,0.0,0.0,0.0,0.0,0.0,0.0
