route_rank,route_rank_pct,route_id,route_short_name,route_long_name,mode,bus_subtype,total_records,cumulative_records,cumulative_pct
177,78.66666666666666,6739,509,Walnut Grove/Surrey Central Station,Bus,Regular Bus,11248,9043298,97.1612404426702
178,79.11111111111111,45596,080,Marine Dr Express,Bus,Express,11230,9054528,97.28189562070052
179,79.55555555555556,6717,354,White Rock South/Bridgeport Station,Bus,Regular Bus,11138,9065666,97.40156235025543
180,80.0,6699,311,Scottsdale/Bridgeport Station,Bus,Regular Bus,10977,9076643,97.51949929497839
181,80.44444444444444,30041,175,Coquitlam Central Station/Meridian,Bus,Regular Bus,10617,9087260,97.63356839784106
182,80.88888888888889,30051,189,Coquitlam Central Station/Lafarge Park,Bus,Regular Bus,10538,9097798,97.74678872429551
183,81.33333333333333,6721,395,Langley Centre/King George Station,Bus,Regular Bus,10144,9107942,97.85577591271398
184,81.77777777777779,6811,146,Metrotown Station/Suncrest,Bus,Regular Bus,9652,9117594,97.95947705059008
185,82.22222222222221,13684,414,Richmond Oval/Brighouse Station,Bus,Regular Bus,9561,9127155,98.06220048399594
186,82.66666666666667,34540,719,Meadowtown/Fraser Way,Bus,Regular Bus,9478,9136633,98.16403216497291
187,83.11111111111111,10232,256,Whitby Estate/Park Royal/Spuraway,Bus,Regular Bus,8707,9145340,98.25758021796578
188,83.55555555555556,6838,N35,Hastings St,Bus,NightBus,8525,9153865,98.34917286201818
189,84.0,6829,416,East Cambie/Brighouse Station,Bus,Regular Bus,8091,9161956,98.43610260782792
190,84.44444444444444,6779,262,Lions Bay/Caulfeild,Bus,Regular Bus,7905,9169861,98.52103396867649
191,84.88888888888889,6835,N20,Victoria,Bus,NightBus,7719,9177580,98.60396694456394
192,85.33333333333334,6830,N10,Granville-YVR,Bus,NightBus,7699,9185279,98.68668504034804
193,85.77777777777777,31818,362,Seaside/White Rock Centre,Bus,Regular Bus,7549,9192828,98.76779153535702
194,86.22222222222223,6776,131,Hastings @ Gilmore/Kootenay Loop,Bus,Regular Bus,7492,9200320,98.84828562207146
195,86.66666666666667,6742,602,Bridgeport Station/Tsawwassen Heights,Bus,Regular Bus,7311,9207631,98.92683504385059
196,87.1111111111111,6710,329,Surrey Central Station/Scottsdale,Bus,Regular Bus,7080,9214711,99.00290260043604
197,87.55555555555556,6825,618,Ladner North/Ladner Exchange,Bus,Regular Bus,6244,9220955,99.0699881687015
198,88.0,6743,603,Bridgeport Station/Beach Grove,Bus,Regular Bus,6163,9227118,99.13620347254842
199,88.44444444444444,6837,N24,Downtown/Lynn Valley,Bus,NightBus,6123,9233241,99.20198901618863
200,88.88888888888889,6840,N8,Fraser,Bus,NightBus,5975,9239216,99.26618444706408
201,89.33333333333333,6823,616,Ladner South/Ladner Exchange,Bus,Regular Bus,5888,9245104,99.32944514948994
202,89.77777777777777,6744,604,Bridgeport Station/English Bluff,Bus,Regular Bus,5709,9250813,99.39078267499085
203,90.22222222222223,6719,393,128 Street,Bus,Regular Bus,4751,9255564,99.44182744354133
204,90.66666666666666,6805,749,Ruskin/Haney Place,Bus,Regular Bus,4734,9260298,99.49268956400398
205,91.11111111111111,6804,748,Thornhill/Haney Place,Bus,Regular Bus,4714,9265012,99.54333680436326
206,91.55555555555556,6844,619,South Delta Exchange/Boundary Bay,Bus,Regular Bus,4694,9269706,99.59376916461922
