route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,segment_start_km,segment_end_km,stop_before_id,stop_before_name,stop_before_dist_km,stop_after_id,stop_after_name,stop_after_dist_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
37810,R4,41st Avenue,RapidBus,1,313453,3.5,3.5,4.0,709,Westbound E 41 Ave @ Victoria Dr,2.9,718,Westbound E 41 Ave @ Fraser St,4.76,27,12,4,11,0.224,0.198,0.099,9,26
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,10.5,10.5,11.0,11616,Northbound Granville St @ W Pender St,10.46,36,Eastbound W Cordova St @ Homer St,11.03,27,2,9,16,0.254,0.28,0.053,4,20
6636,049,49th Avenue,Regular Bus,0,312498,12.0,12.0,12.5,1980,Eastbound W 49 Ave @ Oak St,11.57,1985,Eastbound W 49 Ave @ Alberta St,12.7,27,8,2,17,0.23,0.311,0.0,6,27
6624,019,Kingsway,Regular Bus,1,312414,3.0,3.0,3.5,93,Westbound W Pender St @ Abbott St,2.78,9307,Westbound W Pender St @ Burrard St,3.74,27,1,16,10,0.235,0.203,0.097,3,27
6627,025,King Edward,Regular Bus,1,312455,6.0,6.0,6.5,672,Westbound E 22 Ave @ Slocan St,5.97,1572,Nanaimo Station @ Bay 2,6.68,27,4,0,23,0.382,0.412,0.043,5,27
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,9.5,9.5,10.0,542,Westbound W 5th Ave Offramp @ Granville St,9.47,585,Westbound W 4th Ave @ Burrard St,10.04,27,0,12,15,0.271,0.346,0.14,6,27
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,16.5,16.5,17.0,955,Eastbound E Hastings St @ Nanaimo St,16.43,958,Eastbound E Hastings St @ Kaslo St,17.13,27,0,19,8,0.25,0.195,0.191,10,27
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,12.5,12.5,13.0,939,Eastbound W Hastings St @ Homer St,12.34,942,Eastbound E Hastings St @ Main St,13.23,26,1,16,9,0.255,0.232,0.067,6,26
6624,019,Kingsway,Regular Bus,1,312413,11.5,11.5,12.0,91,Westbound W Pender St @ Carrall St,11.4,95,Westbound W Pender St @ Seymour St,12.13,26,4,8,14,0.283,0.297,0.066,7,24
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,16.5,16.5,17.0,1113,Southbound Arbutus St @ W 35 Ave,16.48,1116,Southbound West Blvd @ W 41 Ave,17.11,26,6,8,12,0.24,0.239,0.036,7,24
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,13.5,13.5,14.0,12707,Westbound W 12th Ave @ Pine St,13.45,1103,Southbound Arbutus St @ W 12 Ave,14.17,26,0,9,17,0.305,0.31,0.129,6,25
6627,025,King Edward,Regular Bus,1,312455,5.5,5.5,6.0,1570,Westbound E 22 Ave @ Renfrew St,5.47,694,Southbound Nanaimo St @ E 22 Ave,6.47,26,2,9,15,0.334,0.443,0.009,9,26
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,16.0,16.0,16.5,952,Eastbound E Hastings St @ Victoria Dr,15.75,956,Eastbound E Hastings St @ Kamloops St,16.56,26,1,13,12,0.275,0.237,0.094,6,26
37810,R4,41st Avenue,RapidBus,0,313452,17.0,17.0,17.5,1130,Eastbound E 41 Ave @ Victoria Dr,16.43,1137,Eastbound E 41 Ave @ Rupert St,18.1,26,2,6,18,0.332,0.356,0.065,10,26
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,4.5,4.5,5.0,519,Westbound Powell St @ Jackson Ave,4.2,696,Westbound E Pender St @ Main St,5.01,25,5,8,12,0.239,0.187,0.0,4,22
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,11.5,11.5,12.0,11532,Northbound Granville St @ Smithe St,11.3,938,Eastbound W Hastings St @ Seymour St,12.14,25,3,11,11,0.245,0.21,0.053,5,23
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,8.0,8.0,8.5,11427,Southbound Granville St @ Davie St,7.97,542,Westbound W 5th Ave Offramp @ Granville St,9.47,25,1,7,17,0.28,0.297,0.042,4,24
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,10.0,10.0,10.5,11474,Southbound Granville St @ Nelson St,9.78,542,Westbound W 5th Ave Offramp @ Granville St,11.61,25,7,6,12,0.213,0.198,0.014,2,18
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,6.0,6.0,6.5,11638,Westbound W Pender St @ Hamilton St,5.85,11524,Southbound Granville St @ W Georgia St,6.52,25,0,12,13,0.263,0.262,0.102,4,21
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,13.5,13.5,14.0,948,Eastbound E Hastings St @ Glen Dr,13.2,951,Eastbound E Hastings St @ Commercial Dr,14.03,25,0,10,15,0.284,0.271,0.108,7,25
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,10.0,10.0,10.5,11532,Northbound Granville St @ Smithe St,9.89,11527,Northbound Granville St @ W Hastings St,10.63,25,3,17,5,0.178,0.181,0.046,4,18
37810,R4,41st Avenue,RapidBus,1,313453,1.0,1.0,1.5,1187,Southbound Joyce St @ Kingsway,0.65,1076,Westbound E 41 Ave @ Clarendon St,2.14,25,0,9,16,0.273,0.31,0.103,8,25
37810,R4,41st Avenue,RapidBus,0,313452,15.5,15.5,16.0,12134,Eastbound E 41 Ave @ Fraser St,14.51,1130,Eastbound E 41 Ave @ Victoria Dr,16.43,25,1,3,21,0.352,0.385,0.0,10,25
6624,019,Kingsway,Regular Bus,0,312403,9.0,9.0,9.5,1154,Eastbound Kingsway @ Miller St,9.0,12110,Eastbound Kingsway @ Gladstone St,9.63,24,4,12,8,0.212,0.177,0.0,5,24
6705,321,King George Blvd,Regular Bus,0,312945,15.5,15.5,16.0,5463,Westbound 72 Ave @ 138 St,15.45,5465,Northbound King George Blvd @ 72 Ave,16.05,24,0,12,12,0.279,0.297,0.102,7,24
