route_id,direction_id,shape_id,trip_count
6622,1,317391,171
6622,1,312385,27
6622,1,312389,19
6622,1,318544,19
6622,1,312387,11
6622,1,317384,11
6622,1,317387,9
6622,1,317385,4
6622,1,312386,4
6622,1,312382,1
6622,1,317383,1
6622,1,312388,1
6622,1,317389,1
6623,0,317397,220
6623,0,312392,220
6623,1,317400,211
6623,1,312396,190
6623,1,312395,31
6623,1,317399,10
6623,1,317402,9
6623,1,312393,9
6623,1,312394,3
6623,1,317401,3
6624,0,317405,249
6624,0,312403,249
6624,0,317403,134
6624,0,312405,86
6624,0,318501,66
6624,0,317408,32
6624,0,312400,32
6624,0,317411,25
6624,0,312397,16
6624,0,317404,14
6624,0,312404,14
6624,0,312402,13
6624,0,317406,13
6624,0,318503,9
6624,0,312401,4
6624,0,312399,4
6624,0,317410,4
6624,0,317409,4
6624,0,317407,4
