route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
33292,133,Holdom Station/Edmonds Station,1,312611,88,153,8.94
33292,133,Holdom Station/Edmonds Station,1,317611,33,178,9.55
33292,133,Holdom Station/Edmonds Station,1,312610,33,178,9.55
33538,068,UBC Exchange/Wesbrook Village,0,312517,183,162,6.51
33538,068,UBC Exchange/Wesbrook Village,0,317515,183,162,6.51
33538,068,UBC Exchange/Wesbrook Village,1,317516,183,131,5.75
33538,068,UBC Exchange/Wesbrook Village,1,312518,183,131,5.75
34042,745,Haney Place/Cottonwood,0,318315,52,175,10.47
34042,745,Haney Place/Cottonwood,0,313306,51,175,10.47
34042,745,Haney Place/Cottonwood,0,318316,1,260,13.99
34042,745,Haney Place/Cottonwood,0,313305,1,260,13.99
34042,745,Haney Place/Cottonwood,1,318317,29,173,10.35
34042,745,Haney Place/Cottonwood,1,313310,29,173,10.35
34042,745,Haney Place/Cottonwood,1,313309,19,174,10.43
34042,745,Haney Place/Cottonwood,1,318318,19,174,10.43
34042,745,Haney Place/Cottonwood,1,318319,2,38,1.79
34042,745,Haney Place/Cottonwood,1,313308,2,38,1.79
34042,745,Haney Place/Cottonwood,1,318320,1,38,1.73
34042,745,Haney Place/Cottonwood,1,313307,1,38,1.73
34043,746,Haney Place/Albion,0,318321,37,208,10.52
34043,746,Haney Place/Albion,0,313312,36,208,10.52
34043,746,Haney Place/Albion,0,318322,12,226,11.15
34043,746,Haney Place/Albion,0,313311,12,226,11.15
34043,746,Haney Place/Albion,1,318325,25,215,10.89
34043,746,Haney Place/Albion,1,313316,25,215,10.89
34043,746,Haney Place/Albion,1,318324,13,241,11.73
34043,746,Haney Place/Albion,1,313315,12,214,10.88
34043,746,Haney Place/Albion,1,318326,12,214,10.88
34043,746,Haney Place/Albion,1,313317,12,241,11.73
34043,746,Haney Place/Albion,1,313318,2,247,12.71
34043,746,Haney Place/Albion,1,318323,2,247,12.71
34043,746,Haney Place/Albion,1,318327,1,240,11.73
34043,746,Haney Place/Albion,1,313314,1,240,11.73
