service_date,collection_timestamp,route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,vehicle_id,next_vehicle_id,approx_shape_dist_traveled,next_shape_dist,distance_to_next_bus_km,bunching_severity,peak_period,route_segment_km
2026-05-23 00:00:00,2026-05-23 16:22:08.654437-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.1754,4.4933,0.3179,Moderate,PM Peak,4.0
2026-05-23 00:00:00,2026-05-23 16:22:39.389133-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,4.1754,4.3198,0.1444,High,PM Peak,4.0
2026-05-23 00:00:00,2026-05-23 16:22:39.389133-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.3198,4.4933,0.1735,High,PM Peak,4.0
2026-05-23 00:00:00,2026-05-23 16:23:09.95952-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.4933,4.5738,0.0805,Severe,PM Peak,4.0
2026-05-23 00:00:00,2026-05-23 16:23:40.649693-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.4933,4.6277,0.1344,High,PM Peak,4.0
2026-05-23 00:00:00,2026-05-23 16:24:11.213006-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2116,4.5738,4.6278,0.054,Severe,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:24:41.988892-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,4.5738,4.6277,0.0539,Severe,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:24:41.988892-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.6277,4.6278,0.0001,Severe,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:25:12.558972-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2116,4.6277,4.7283,0.1006,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:25:43.146546-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,4.6278,4.7283,0.1005,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:26:13.978686-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2116,4.7283,4.8332,0.1049,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:26:44.821687-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.8332,4.9406,0.1074,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:27:15.375371-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2116,4.8332,4.9884,0.1552,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:27:46.140988-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,4.8332,4.9406,0.1074,High,PM Peak,4.5
