shape_id,shape_points,first_sequence,last_sequence,min_shape_distance,max_shape_distance,shape_length_km
312346,256,1,256,0.0,18.4064,18.41
318347,216,1,216,0.0,18.3971,18.4
313336,216,1,216,0.0,18.3971,18.4
318177,219,1,219,0.0,18.3782,18.38
317229,219,1,219,0.0,18.3782,18.38
313431,330,1,330,0.0,18.3455,18.35
318442,330,1,330,0.0,18.3455,18.35
318254,236,1,236,0.0,18.3389,18.34
313243,236,1,236,0.0,18.3389,18.34
318255,255,1,255,0.0,18.3202,18.32
313244,255,1,255,0.0,18.3202,18.32
318165,292,1,292,0.0,18.2987,18.3
313158,292,1,292,0.0,18.2987,18.3
313461,295,1,295,0.0,18.2584,18.26
313460,295,1,295,0.0,18.2584,18.26
318476,295,1,295,0.0,18.2584,18.26
318475,295,1,295,0.0,18.2584,18.26
313319,288,1,288,0.0,18.2296,18.23
318330,288,1,288,0.0,18.2296,18.23
318524,280,1,280,0.0,18.0704,18.07
318527,280,1,280,0.0,18.0704,18.07
317726,362,1,362,0.0,18.0499,18.05
312726,362,1,362,0.0,18.0499,18.05
317737,362,1,362,0.0,18.0499,18.05
317730,362,1,362,0.0,18.0499,18.05
312741,362,1,362,0.0,18.0499,18.05
312730,362,1,362,0.0,18.0499,18.05
313127,214,1,214,0.0,18.0209,18.02
318136,214,1,214,0.0,18.0209,18.02
312479,307,1,307,0.0,17.9782,17.98
317485,307,1,307,0.0,17.9782,17.98
318188,218,1,218,0.0,17.9568,17.96
312231,295,1,295,0.0,17.9568,17.96
313173,218,1,218,0.0,17.9568,17.96
317707,386,1,386,0.0,17.9595,17.96
312706,386,1,386,0.0,17.9595,17.96
312236,281,1,281,0.0,17.9501,17.95
312245,281,1,281,0.0,17.9501,17.95
313216,241,1,241,0.0,17.9429,17.94
313429,327,1,327,0.0,17.9397,17.94
318444,327,1,327,0.0,17.9397,17.94
318231,241,1,241,0.0,17.9429,17.94
318141,190,1,190,0.0,17.905,17.91
313129,190,1,190,0.0,17.905,17.91
318518,296,1,296,0.0,17.8742,17.87
317995,216,1,216,0.0,17.8559,17.86
312988,216,1,216,0.0,17.8559,17.86
313259,300,1,300,0.0,17.8303,17.83
318275,300,1,300,0.0,17.8303,17.83
312537,368,1,368,0.0,17.7708,17.77
317535,368,1,368,0.0,17.7708,17.77
318446,290,1,290,0.0,17.7742,17.77
313434,290,1,290,0.0,17.7742,17.77
312478,310,1,310,0.0,17.7513,17.75
317484,310,1,310,0.0,17.7513,17.75
313269,294,1,294,0.0,17.7463,17.75
318279,294,1,294,0.0,17.7463,17.75
313214,288,1,288,0.0,17.7437,17.74
318224,288,1,288,0.0,17.7437,17.74
318329,268,1,268,0.0,17.5833,17.58
313320,268,1,268,0.0,17.5833,17.58
313433,251,1,251,0.0,17.5657,17.57
318445,251,1,251,0.0,17.5657,17.57
312862,353,1,353,0.0,17.5563,17.56
317861,353,1,353,0.0,17.5563,17.56
318223,295,1,295,0.0,17.5212,17.52
