route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km,eligible_days
6614,004,Powell/UBC Exchange,0,312234,24,257,15.3,5
6614,004,Powell/UBC Exchange,0,312230,21,209,12.57,5
6614,004,Powell/UBC Exchange,0,317241,21,209,12.57,5
6614,004,Powell/UBC Exchange,0,317239,18,209,12.57,5
6614,004,Powell/UBC Exchange,0,312233,18,208,12.65,5
6614,004,Powell/UBC Exchange,0,317238,10,208,12.65,5
6614,004,Powell/UBC Exchange,0,312235,10,105,6.46,5
6614,004,Powell/UBC Exchange,0,312232,10,209,12.57,5
6614,004,Powell/UBC Exchange,0,318534,10,105,6.23,5
6614,004,Powell/UBC Exchange,1,318524,152,280,18.07,5
6614,004,Powell/UBC Exchange,1,312245,151,281,17.95,5
6614,004,Powell/UBC Exchange,1,312238,17,194,12.47,5
6614,004,Powell/UBC Exchange,1,317249,17,194,12.47,5
