vehicle_id,total_records,zero_speed_records,mean_speed,zero_speed_share
16117,94,94,0.0,1.0
16120,124,124,0.0,1.0
16122,212,212,0.0,1.0
16126,104,104,0.0,1.0
16128,225,225,0.0,1.0
16130,94,94,0.0,1.0
16132,209,209,0.0,1.0
16133,184,184,0.0,1.0
16136,90,90,0.0,1.0
16137,92,92,0.0,1.0
16138,94,94,0.0,1.0
16139,94,94,0.0,1.0
16202,248,248,0.0,1.0
16203,94,94,0.0,1.0
16204,94,94,0.0,1.0
16205,94,94,0.0,1.0
16209,94,94,0.0,1.0
16210,76,76,0.0,1.0
16218,93,93,0.0,1.0
16220,234,234,0.0,1.0
16223,241,241,0.0,1.0
16225,247,247,0.0,1.0
16601,94,94,0.0,1.0
16604,91,91,0.0,1.0
16605,121,121,0.0,1.0
18002,218,218,0.0,1.0
18006,242,242,0.0,1.0
18008,94,94,0.0,1.0
18009,94,94,0.0,1.0
18011,46,46,0.0,1.0
18012,243,243,0.0,1.0
18014,232,232,0.0,1.0
18015,86,86,0.0,1.0
18018,244,244,0.0,1.0
18022,93,93,0.0,1.0
18024,230,230,0.0,1.0
18027,232,232,0.0,1.0
18029,244,244,0.0,1.0
18030,82,82,0.0,1.0
18031,91,91,0.0,1.0
18032,234,234,0.0,1.0
18033,163,163,0.0,1.0
18036,94,94,0.0,1.0
18037,242,242,0.0,1.0
18039,227,227,0.0,1.0
18041,244,244,0.0,1.0
18042,2,2,0.0,1.0
18043,94,94,0.0,1.0
18044,244,244,0.0,1.0
18046,197,197,0.0,1.0
18049,241,241,0.0,1.0
18050,94,94,0.0,1.0
18051,241,241,0.0,1.0
18053,227,227,0.0,1.0
18056,228,228,0.0,1.0
18057,94,94,0.0,1.0
18059,94,94,0.0,1.0
18061,245,245,0.0,1.0
18101,89,89,0.0,1.0
18102,94,94,0.0,1.0
18104,92,92,0.0,1.0
18109,94,94,0.0,1.0
18111,244,244,0.0,1.0
18112,244,244,0.0,1.0
18114,199,199,0.0,1.0
18115,94,94,0.0,1.0
18116,227,227,0.0,1.0
18118,221,221,0.0,1.0
18120,244,244,0.0,1.0
18121,118,118,0.0,1.0
18122,245,245,0.0,1.0
18123,245,245,0.0,1.0
18124,94,94,0.0,1.0
18125,240,240,0.0,1.0
18127,242,242,0.0,1.0
18128,244,244,0.0,1.0
18131,94,94,0.0,1.0
18132,88,88,0.0,1.0
18134,244,244,0.0,1.0
18136,94,94,0.0,1.0
18137,94,94,0.0,1.0
18138,94,94,0.0,1.0
18139,242,242,0.0,1.0
18140,244,244,0.0,1.0
18142,94,94,0.0,1.0
18143,136,136,0.0,1.0
18144,140,140,0.0,1.0
18148,94,94,0.0,1.0
18149,75,75,0.0,1.0
