filename,status,size_bytes,row_count,is_empty,is_corrupted,missing_columns,duplicate_count,earliest_timestamp,latest_timestamp,unique_routes
vehicle_positions_18_184148.parquet,OK,34973,811,False,False,,0,2026-05-14T18:41:48.251013+00:00,2026-05-14T18:41:48.251013+00:00,182
vehicle_positions_18_184219.parquet,OK,34987,811,False,False,,0,2026-05-14T18:42:19.027063+00:00,2026-05-14T18:42:19.027063+00:00,182
vehicle_positions_18_184250.parquet,OK,35112,810,False,False,,0,2026-05-14T18:42:49.834386+00:00,2026-05-14T18:42:49.834386+00:00,181
vehicle_positions_18_184321.parquet,OK,35114,813,False,False,,0,2026-05-14T18:43:20.626294+00:00,2026-05-14T18:43:20.626294+00:00,181
vehicle_positions_18_184351.parquet,OK,34980,814,False,False,,0,2026-05-14T18:43:51.387657+00:00,2026-05-14T18:43:51.387657+00:00,181
vehicle_positions_18_184422.parquet,OK,34866,812,False,False,,0,2026-05-14T18:44:22.126058+00:00,2026-05-14T18:44:22.126058+00:00,181
vehicle_positions_18_184453.parquet,OK,35009,813,False,False,,0,2026-05-14T18:44:52.898618+00:00,2026-05-14T18:44:52.898618+00:00,181
vehicle_positions_18_184524.parquet,OK,35092,816,False,False,,0,2026-05-14T18:45:23.701831+00:00,2026-05-14T18:45:23.701831+00:00,182
vehicle_positions_18_184555.parquet,OK,35104,819,False,False,,0,2026-05-14T18:45:54.517566+00:00,2026-05-14T18:45:54.517566+00:00,182
vehicle_positions_18_184625.parquet,OK,35269,820,False,False,,0,2026-05-14T18:46:25.367796+00:00,2026-05-14T18:46:25.367796+00:00,183
vehicle_positions_18_184656.parquet,OK,35190,818,False,False,,0,2026-05-14T18:46:56.267865+00:00,2026-05-14T18:46:56.267865+00:00,183
vehicle_positions_18_184727.parquet,OK,35078,817,False,False,,0,2026-05-14T18:47:27.119393+00:00,2026-05-14T18:47:27.119393+00:00,182
vehicle_positions_18_184758.parquet,OK,35013,816,False,False,,0,2026-05-14T18:47:58.083775+00:00,2026-05-14T18:47:58.083775+00:00,183
vehicle_positions_18_184829.parquet,OK,35022,816,False,False,,0,2026-05-14T18:48:28.931362+00:00,2026-05-14T18:48:28.931362+00:00,183
vehicle_positions_18_184900.parquet,OK,34946,811,False,False,,0,2026-05-14T18:48:59.742054+00:00,2026-05-14T18:48:59.742054+00:00,184
vehicle_positions_18_184931.parquet,OK,34939,811,False,False,,0,2026-05-14T18:49:30.626703+00:00,2026-05-14T18:49:30.626703+00:00,184
vehicle_positions_18_185002.parquet,OK,34912,811,False,False,,0,2026-05-14T18:50:01.538380+00:00,2026-05-14T18:50:01.538380+00:00,183
vehicle_positions_18_185033.parquet,OK,34947,810,False,False,,0,2026-05-14T18:50:32.310012+00:00,2026-05-14T18:50:32.310012+00:00,183
vehicle_positions_18_185103.parquet,OK,34962,809,False,False,,0,2026-05-14T18:51:03.317475+00:00,2026-05-14T18:51:03.317475+00:00,183
vehicle_positions_18_185134.parquet,OK,34796,810,False,False,,0,2026-05-14T18:51:34.085859+00:00,2026-05-14T18:51:34.085859+00:00,183
vehicle_positions_18_185205.parquet,OK,34869,810,False,False,,0,2026-05-14T18:52:05.000796+00:00,2026-05-14T18:52:05.000796+00:00,182
vehicle_positions_18_185236.parquet,OK,34892,810,False,False,,0,2026-05-14T18:52:35.866316+00:00,2026-05-14T18:52:35.866316+00:00,181
vehicle_positions_18_185307.parquet,OK,34823,809,False,False,,0,2026-05-14T18:53:06.585984+00:00,2026-05-14T18:53:06.585984+00:00,181
vehicle_positions_18_185337.parquet,OK,34914,811,False,False,,0,2026-05-14T18:53:37.355630+00:00,2026-05-14T18:53:37.355630+00:00,181
vehicle_positions_18_185408.parquet,OK,34914,811,False,False,,0,2026-05-14T18:54:08.274560+00:00,2026-05-14T18:54:08.274560+00:00,181
vehicle_positions_18_185439.parquet,OK,34758,807,False,False,,0,2026-05-14T18:54:39.037177+00:00,2026-05-14T18:54:39.037177+00:00,182
vehicle_positions_18_185510.parquet,OK,34841,808,False,False,,0,2026-05-14T18:55:09.875202+00:00,2026-05-14T18:55:09.875202+00:00,182
vehicle_positions_18_185541.parquet,OK,34772,809,False,False,,0,2026-05-14T18:55:40.669347+00:00,2026-05-14T18:55:40.669347+00:00,179
vehicle_positions_18_185612.parquet,OK,34862,808,False,False,,0,2026-05-14T18:56:11.530167+00:00,2026-05-14T18:56:11.530167+00:00,180
vehicle_positions_18_185643.parquet,OK,34778,808,False,False,,0,2026-05-14T18:56:42.378032+00:00,2026-05-14T18:56:42.378032+00:00,180
vehicle_positions_18_185714.parquet,OK,34812,808,False,False,,0,2026-05-14T18:57:13.503525+00:00,2026-05-14T18:57:13.503525+00:00,180
vehicle_positions_18_185744.parquet,OK,34805,809,False,False,,0,2026-05-14T18:57:44.402433+00:00,2026-05-14T18:57:44.402433+00:00,181
vehicle_positions_18_185815.parquet,OK,34934,811,False,False,,0,2026-05-14T18:58:15.359829+00:00,2026-05-14T18:58:15.359829+00:00,181
vehicle_positions_18_185847.parquet,OK,34811,810,False,False,,0,2026-05-14T18:58:46.236141+00:00,2026-05-14T18:58:46.236141+00:00,181
vehicle_positions_18_185917.parquet,OK,34847,811,False,False,,0,2026-05-14T18:59:17.312628+00:00,2026-05-14T18:59:17.312628+00:00,181
